IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,ObjectId
1,01001,A15-A34,W,1,0,1585353600000,464289
1,01001,A35-A59,W,1,0,1585353600000,464295
1,01002,A15-A34,M,2,0,1585353600000,464310
1,01002,A15-A34,W,2,0,1585353600000,464323
1,01002,A35-A59,M,1,0,1585353600000,464332
1,01002,A35-A59,W,4,0,1585353600000,464344
1,01002,A60-A79,M,2,0,1585353600000,464352
1,01002,A60-A79,W,1,0,1585353600000,464358
1,01054,A15-A34,W,1,0,1585353600000,464501
1,01054,A35-A59,W,3,0,1585353600000,464516
1,01056,A05-A14,M,1,0,1585353600000,464544
1,01056,A05-A14,W,1,0,1585353600000,464546
1,01056,A15-A34,W,1,0,1585353600000,464572
1,01056,A35-A59,M,2,0,1585353600000,464592
1,01056,A35-A59,W,2,0,1585353600000,464607
1,01056,A60-A79,M,1,0,1585353600000,464614
1,01056,A80+,M,1,0,1585353600000,464633
1,01056,A80+,W,1,0,1585353600000,464638
1,01057,A35-A59,W,2,0,1585353600000,464668
1,01057,A60-A79,M,1,0,1585353600000,464676
1,01057,A80+,W,1,0,1585353600000,464682
1,01058,A15-A34,W,1,0,1585353600000,464694
1,01058,A35-A59,M,1,0,1585353600000,464707
1,01058,A35-A59,W,4,0,1585353600000,464716
1,01058,A60-A79,M,1,0,1585353600000,464729
1,01058,A60-A79,W,2,0,1585353600000,464739
1,01058,A80+,M,1,0,1585353600000,464745
1,01058,A80+,W,1,0,1585353600000,464748
1,01059,A15-A34,W,1,0,1585353600000,464763
1,01059,A35-A59,M,2,0,1585353600000,464775
1,01059,A35-A59,W,2,0,1585353600000,464783
1,01059,A60-A79,M,1,0,1585353600000,464787
1,01059,A60-A79,W,2,0,1585353600000,464792
1,01059,A80+,W,1,0,1585353600000,464794
1,01060,A05-A14,W,1,0,1585353600000,464795
1,01060,A15-A34,M,1,0,1585353600000,464801
1,01060,A35-A59,M,2,0,1585353600000,464817
1,01060,A35-A59,W,4,0,1585353600000,464825
1,01060,A60-A79,M,1,0,1585353600000,464832
1,01060,A60-A79,W,1,0,1585353600000,464839
1,01062,A05-A14,W,1,0,1585353600000,464873
1,01062,A35-A59,W,1,0,1585353600000,464921
3,03159,A60-A79,M,1,0,1585353600000,465548
3,03252,A60-A79,M,1,0,1585353600000,465813
3,03252,A60-A79,W,1,0,1585353600000,465816
3,03252,A80+,M,1,0,1585353600000,465819
